coo: 36.3302284_-119.2920585,E 00:00:00,A 00:00:00,E 01:00:00,A 01:00:00,E 02:00:00,A 02:00:00,E 03:00:00,A 03:00:00,E 04:00:00,A 04:00:00,E 05:00:00,A 05:00:00,E 06:00:00,A 06:00:00,E 07:00:00,A 07:00:00,E 08:00:00,A 08:00:00,E 09:00:00,A 09:00:00,E 10:00:00,A 10:00:00,E 11:00:00,A 11:00:00,E 12:00:00,A 12:00:00,E 13:00:00,A 13:00:00,E 14:00:00,A 14:00:00,E 15:00:00,A 15:00:00,E 16:00:00,A 16:00:00,E 17:00:00,A 17:00:00,E 18:00:00,A 18:00:00,E 19:00:00,A 19:00:00,E 20:00:00,A 20:00:00,E 21:00:00,A 21:00:00,E 22:00:00,A 22:00:00,E 23:00:00,A 23:00:00
8/3/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21.38,83.73,33.44,92.46,45.4,102.7,56.78,116.7,66.36,139.47,70.93,177.55,67.18,217.06,57.94,241.27,46.68,255.9,34.74,266.41,22.66,275.23,10.74,283.55,-0.76,292.13,-11.54,301.64,--,--,--,--,--,--
8/4/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21.25,83.99,33.32,92.74,45.27,103.03,56.62,117.09,66.15,139.88,70.66,177.65,66.94,216.76,57.75,240.93,46.51,255.6,34.58,266.16,22.5,275,10.57,283.34,-0.94,291.94,--,--,--,--,--,--,--,--
8/5/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21.13,84.24,33.19,93.03,45.14,103.37,56.46,117.49,65.93,140.3,70.39,177.75,66.69,216.47,57.54,240.58,46.33,255.3,34.41,265.89,22.33,274.77,10.39,283.12,-1.14,291.74,--,--,--,--,--,--,--,--
8/6/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21,84.51,33.06,93.32,45,103.71,56.29,117.89,65.71,140.71,70.12,177.86,66.44,216.18,57.33,240.24,46.14,255,34.23,265.63,22.15,274.53,10.21,282.91,-1.33,291.54,--,--,--,--,--,--,--,--
8/7/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20.87,84.78,32.94,93.62,44.86,104.06,56.13,118.3,65.49,141.13,69.84,177.97,66.18,215.9,57.12,239.9,45.95,254.7,34.05,265.37,21.97,274.29,10.02,282.69,-1.53,291.34,--,--,--,--,--,--,--,--
8/8/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20.74,85.05,32.81,93.93,44.72,104.41,55.96,118.72,65.26,141.56,69.55,178.09,65.91,215.62,56.9,239.56,45.76,254.39,33.87,265.1,21.79,274.06,9.83,282.47,-1.74,291.14,--,--,--,--,--,--,--,--
8/9/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20.61,85.33,32.68,94.23,44.58,104.77,55.79,119.14,65.03,141.99,69.26,178.21,65.64,215.35,56.67,239.23,45.56,254.09,33.68,264.83,21.6,273.82,9.64,282.25,-1.94,290.93,--,--,--,--,--,--,--,--
8/10/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20.48,85.61,32.54,94.55,44.44,105.13,55.61,119.56,64.8,142.41,68.97,178.33,65.37,215.09,56.44,238.89,45.35,253.78,33.48,264.56,21.41,273.57,9.44,282.03,-2.16,290.72,--,--,--,--,--,--,--,--
8/11/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20.35,85.9,32.41,94.87,44.29,105.5,55.44,119.99,64.56,142.85,68.67,178.46,65.09,214.83,56.2,238.56,45.14,253.48,33.28,264.29,21.21,273.33,9.23,281.81,-2.38,290.51,--,--,--,--,--,--,--,--
8/12/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20.21,86.19,32.28,95.19,44.14,105.87,55.26,120.42,64.32,143.28,68.37,178.59,64.8,214.58,55.96,238.23,44.93,253.17,33.08,264.02,21,273.09,9.02,281.58,-2.6,290.3,--,--,--,--,--,--,--,--
8/13/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20.08,86.48,32.14,95.52,44,106.24,55.07,120.86,64.08,143.72,68.07,178.73,64.51,214.33,55.71,237.9,44.71,252.87,32.87,263.75,20.8,272.84,8.81,281.35,-2.83,290.09,--,--,--,--,--,--,--,--
8/14/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.94,86.78,32.01,95.85,43.85,106.63,54.89,121.3,63.83,144.15,67.76,178.86,64.22,214.09,55.46,237.57,44.48,252.56,32.66,263.47,20.58,272.59,8.59,281.12,-3.06,289.88,--,--,--,--,--,--,--,--
8/15/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.81,87.09,31.87,96.19,43.69,107.01,54.7,121.74,63.58,144.59,67.45,179,63.92,213.86,55.2,237.24,44.25,252.25,32.44,263.2,20.37,272.34,8.37,280.89,-3.29,289.66,--,--,--,--,--,--,--,--
8/16/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.67,87.39,31.73,96.53,43.54,107.4,54.51,122.19,63.33,145.03,67.13,179.15,63.61,213.63,54.94,236.92,44.02,251.95,32.22,262.92,20.15,272.09,8.14,280.66,-3.53,289.45,--,--,--,--,--,--,--,--
8/17/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.54,87.71,31.59,96.87,43.39,107.79,54.32,122.64,63.07,145.46,66.81,179.29,63.3,213.41,54.67,236.6,43.78,251.64,31.99,262.65,19.92,271.84,7.91,280.43,-3.77,289.23,--,--,--,--,--,--,--,--
8/18/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.4,88.02,31.45,97.22,43.23,108.19,54.13,123.09,62.81,145.9,66.49,179.44,62.99,213.19,54.4,236.29,43.53,251.34,31.76,262.37,19.7,271.59,7.68,280.2,-4.02,289.01,--,--,--,--,--,--,--,--
8/19/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.26,88.34,31.31,97.57,43.07,108.59,53.93,123.54,62.54,146.34,66.16,179.58,62.67,212.98,54.12,235.97,43.28,251.04,31.52,262.1,19.46,271.34,7.44,279.96,-4.27,288.79,--,--,--,--,--,--,--,--
8/20/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.12,88.67,31.17,97.93,42.91,108.99,53.73,124,62.27,146.78,65.83,179.73,62.35,212.77,53.84,235.66,43.03,250.73,31.29,261.82,19.23,271.08,7.2,279.72,-4.52,288.57,--,--,--,--,--,--,--,--
8/21/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.98,88.99,31.03,98.28,42.75,109.39,53.53,124.46,62,147.22,65.5,179.88,62.02,212.57,53.55,235.36,42.77,250.43,31.04,261.54,18.99,270.83,6.95,279.49,-4.78,288.34,--,--,--,--,--,--,--,--
8/22/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.84,89.32,30.88,98.65,42.58,109.8,53.32,124.92,61.73,147.65,65.16,180.03,61.69,212.38,53.26,235.05,42.51,250.13,30.79,261.27,18.74,270.57,6.7,279.25,-5.04,288.12,--,--,--,--,--,--,--,--
8/23/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.7,89.65,30.74,99.01,42.42,110.21,53.11,125.38,61.45,148.09,64.82,180.18,61.36,212.18,52.96,234.75,42.24,249.83,30.54,260.99,18.49,270.32,6.45,279.01,-5.3,287.89,--,--,--,--,--,--,--,--
8/24/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.56,89.99,30.59,99.38,42.25,110.63,52.9,125.84,61.17,148.52,64.48,180.34,61.02,212,52.66,234.45,41.97,249.53,30.29,260.71,18.24,270.06,6.2,278.77,-5.57,287.66,--,--,--,--,--,--,--,--
8/25/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.42,90.33,30.44,99.75,42.08,111.04,52.69,126.3,60.89,148.95,64.13,180.49,60.68,211.82,52.36,234.16,41.7,249.24,30.03,260.43,17.99,269.8,5.94,278.53,-5.84,287.43,--,--,--,--,--,--,--,--
8/26/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.28,90.67,30.29,100.12,41.91,111.46,52.47,126.77,60.6,149.38,63.78,180.64,60.33,211.64,52.05,233.87,41.42,248.94,29.76,260.16,17.73,269.54,5.67,278.28,-6.11,287.2,--,--,--,--,--,--,--,--
8/27/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.13,91.02,30.14,100.5,41.73,111.88,52.25,127.23,60.31,149.8,63.43,180.8,59.99,211.47,51.74,233.58,41.13,248.64,29.5,259.88,17.47,269.29,5.41,278.04,-6.39,286.97,--,--,--,--,--,--,--,--
8/28/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.99,91.37,29.99,100.88,41.56,112.3,52.03,127.7,60.02,150.23,63.07,180.95,59.63,211.3,51.43,233.29,40.85,248.35,29.23,259.6,17.2,269.03,5.14,277.79,-6.67,286.74,--,--,--,--,--,--,--,--
8/29/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.85,91.72,29.83,101.26,41.38,112.73,51.81,128.16,59.72,150.65,62.72,181.1,59.28,211.14,51.11,233.01,40.56,248.06,28.96,259.33,16.94,268.77,4.87,277.55,-6.95,286.5,--,--,--,--,--,--,--,--
8/30/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.7,92.07,29.68,101.64,41.2,113.15,51.58,128.62,59.42,151.07,62.36,181.25,58.92,210.98,50.79,232.73,40.27,247.77,28.68,259.05,16.67,268.51,4.6,277.3,-7.23,286.27,--,--,--,--,--,--,--,--
8/31/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.55,92.42,29.52,102.02,41.02,113.58,51.35,129.09,59.12,151.49,61.99,181.4,58.56,210.82,50.46,232.46,39.97,247.48,28.4,258.78,16.39,268.25,4.32,277.06,-7.52,286.03,--,--,--,--,--,--,--,--
9/1/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.41,92.78,29.37,102.41,40.83,114.01,51.12,129.55,58.82,151.9,61.63,181.55,58.2,210.67,50.13,232.19,39.67,247.19,28.12,258.5,16.12,267.99,4.04,276.81,-7.81,285.8,--,--,--,--,--,--,--,--
9/2/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.26,93.14,29.21,102.8,40.65,114.44,50.88,130.01,58.51,152.31,61.26,181.7,57.83,210.52,49.8,231.92,39.37,246.91,27.83,258.23,15.84,267.73,3.76,276.56,-8.1,285.56,--,--,--,--,--,--,--,--
9/3/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.11,93.5,29.05,103.19,40.46,114.86,50.64,130.47,58.2,152.71,60.89,181.85,57.46,210.38,49.46,231.65,39.06,246.62,27.54,257.95,15.56,267.47,3.48,276.31,-8.39,285.32,--,--,--,--,--,--,--,--
9/4/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.96,93.86,28.89,103.58,40.27,115.29,50.4,130.93,57.89,153.12,60.52,182,57.09,210.24,49.13,231.39,38.75,246.34,27.25,257.68,15.27,267.21,3.19,276.06,-8.69,285.08,--,--,--,--,--,--,--,--
9/5/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.81,94.23,28.72,103.97,40.08,115.72,50.16,131.39,57.57,153.52,60.15,182.15,56.72,210.1,48.79,231.13,38.44,246.06,26.96,257.4,14.99,266.95,2.91,275.81,-8.98,284.83,--,--,--,--,--,--,--,--
9/6/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.66,94.6,28.56,104.36,39.89,116.15,49.91,131.85,57.25,153.91,59.77,182.29,56.34,209.97,48.44,230.87,38.13,245.78,26.67,257.13,14.7,266.68,2.62,275.56,-9.28,284.59,--,--,--,--,--,--,--,--
9/7/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.5,94.96,28.39,104.76,39.69,116.58,49.67,132.3,56.93,154.3,59.39,182.44,55.97,209.83,48.1,230.62,37.81,245.5,26.37,256.86,14.41,266.42,2.33,275.31,-9.58,284.35,--,--,--,--,--,--,--,--
9/8/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.35,95.33,28.23,105.15,39.49,117.01,49.41,132.75,56.61,154.69,59.02,182.58,55.59,209.7,47.75,230.37,37.5,245.22,26.07,256.59,14.12,266.16,2.04,275.05,-9.88,284.1,--,--,--,--,--,--,--,--
9/9/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.2,95.7,28.06,105.55,39.29,117.44,49.16,133.2,56.28,155.07,58.63,182.72,55.21,209.58,47.4,230.12,37.18,244.95,25.77,256.32,13.83,265.9,1.74,274.8,-10.18,283.85,--,--,--,--,--,--,--,--
9/10/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.04,96.07,27.89,105.94,39.09,117.87,48.91,133.65,55.96,155.45,58.25,182.86,54.82,209.45,47.05,229.88,36.85,244.68,25.46,256.05,13.53,265.64,1.45,274.54,-10.49,283.6,--,--,--,--,--,--,--,--
9/11/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15.89,96.45,27.72,106.34,38.89,118.3,48.65,134.09,55.63,155.82,57.87,182.99,54.44,209.33,46.69,229.64,36.53,244.41,25.16,255.78,13.23,265.38,1.15,274.29,-10.79,283.36,--,--,--,--,--,--,--,--
9/12/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15.73,96.82,27.54,106.74,38.68,118.73,48.39,134.54,55.3,156.19,57.48,183.13,54.05,209.21,46.34,229.4,36.2,244.14,24.85,255.51,12.94,265.11,0.85,274.03,-11.1,283.11,--,--,--,--,--,--,--,--
9/13/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15.57,97.19,27.37,107.13,38.47,119.15,48.12,134.98,54.96,156.55,57.1,183.26,53.67,209.1,45.98,229.16,35.87,243.87,24.54,255.24,12.64,264.85,0.55,273.78,-11.41,282.85,--,--,--,--,--,--,--,--
9/14/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15.41,97.57,27.19,107.53,38.26,119.58,47.86,135.41,54.63,156.91,56.71,183.39,53.28,208.98,45.62,228.92,35.54,243.6,24.23,254.97,12.34,264.59,0.25,273.52,-11.71,282.6,--,--,--,--,--,--,--,--
9/15/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15.25,97.94,27.01,107.92,38.05,120,47.59,135.84,54.29,157.26,56.32,183.52,52.89,208.87,45.26,228.69,35.21,243.34,23.92,254.71,12.04,264.33,-0.05,273.26,-12.02,282.35,--,--,--,--,--,--,--,--
9/16/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15.09,98.32,26.83,108.32,37.83,120.42,47.32,136.27,53.95,157.61,55.93,183.64,52.5,208.76,44.9,228.46,34.88,243.07,23.61,254.44,11.73,264.07,-0.35,273.01,-12.33,282.09,--,--,--,--,--,--,--,--
9/17/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14.93,98.69,26.65,108.72,37.62,120.84,47.05,136.7,53.61,157.95,55.54,183.76,52.11,208.65,44.54,228.23,34.55,242.81,23.3,254.17,11.43,263.81,-0.65,272.75,-12.64,281.84,--,--,--,--,--,--,--,--
9/18/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14.77,99.07,26.47,109.11,37.4,121.26,46.78,137.12,53.27,158.29,55.15,183.88,51.72,208.54,44.17,228.01,34.21,242.55,22.98,253.91,11.13,263.54,-0.95,272.49,--,--,--,--,--,--,--,--,--,--
9/19/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14.6,99.44,26.29,109.5,37.18,121.68,46.5,137.54,52.92,158.63,54.76,184,51.32,208.43,43.81,227.79,33.88,242.29,22.67,253.64,10.82,263.28,-1.25,272.23,--,--,--,--,--,--,--,--,--,--
9/20/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14.44,99.81,26.1,109.9,36.96,122.09,46.22,137.95,52.58,158.95,54.36,184.12,50.93,208.32,43.45,227.57,33.54,242.03,22.35,253.38,10.52,263.02,-1.55,271.97,--,--,--,--,--,--,--,--,--,--
9/21/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14.27,100.19,25.91,110.29,36.73,122.5,45.94,138.36,52.23,159.27,53.97,184.23,50.54,208.22,43.08,227.35,33.21,241.78,22.04,253.12,10.21,262.76,-1.86,271.71,--,--,--,--,--,--,--,--,--,--
9/22/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14.1,100.56,25.73,110.68,36.51,122.91,45.66,138.76,51.88,159.59,53.58,184.34,50.15,208.11,42.71,227.13,32.87,241.52,21.72,252.85,9.91,262.5,-2.16,271.45,--,--,--,--,--,--,--,--,--,--
9/23/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13.93,100.93,25.54,111.07,36.28,123.32,45.37,139.16,51.53,159.9,53.18,184.44,49.75,208.01,42.35,226.91,32.53,241.27,21.4,252.59,9.61,262.23,-2.46,271.19,--,--,--,--,--,--,--,--,--,--
9/24/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13.76,101.31,25.34,111.46,36.05,123.72,45.09,139.56,51.18,160.21,52.79,184.55,49.36,207.91,41.98,226.7,32.2,241.01,21.09,252.33,9.3,261.97,-2.76,270.92,--,--,--,--,--,--,--,--,--,--
9/25/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13.59,101.68,25.15,111.84,35.82,124.12,44.8,139.95,50.83,160.51,52.39,184.65,48.97,207.81,41.62,226.49,31.86,240.76,20.77,252.07,9,261.71,-3.06,270.66,--,--,--,--,--,--,--,--,--,--
9/26/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13.42,102.05,24.96,112.23,35.58,124.52,44.51,140.33,50.48,160.8,52,184.74,48.57,207.71,41.25,226.28,31.52,240.51,20.46,251.81,8.7,261.45,-3.36,270.4,--,--,--,--,--,--,--,--,--,--
9/27/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13.25,102.42,24.76,112.61,35.35,124.92,44.22,140.71,50.12,161.09,51.61,184.84,48.18,207.6,40.88,226.07,31.18,240.26,20.14,251.55,8.39,261.19,-3.66,270.13,--,--,--,--,--,--,--,--,--,--
9/28/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13.08,102.78,24.56,112.99,35.11,125.31,43.93,141.09,49.77,161.37,51.21,184.93,47.79,207.5,40.52,225.86,30.85,240.02,19.83,251.29,8.09,260.92,-3.95,269.87,--,--,--,--,--,--,--,--,--,--
9/29/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12.9,103.15,24.36,113.36,34.87,125.7,43.64,141.46,49.42,161.65,50.82,185.02,47.4,207.4,40.15,225.66,30.51,239.77,19.51,251.03,7.79,260.66,-4.25,269.6,--,--,--,--,--,--,--,--,--,--
9/30/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12.72,103.51,24.16,113.74,34.63,126.08,43.34,141.83,49.06,161.92,50.43,185.1,47.01,207.3,39.79,225.45,30.18,239.53,19.2,250.78,7.49,260.4,-4.55,269.34,--,--,--,--,--,--,--,--,--,--
10/1/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12.55,103.88,23.96,114.11,34.39,126.46,43.04,142.19,48.71,162.19,50.03,185.18,46.62,207.2,39.43,225.25,29.84,239.28,18.89,250.52,7.19,260.14,-4.84,269.07,--,--,--,--,--,--,--,--,--,--
10/2/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12.37,104.24,23.75,114.48,34.14,126.84,42.75,142.54,48.35,162.44,49.64,185.26,46.23,207.1,39.06,225.04,29.51,239.04,18.58,250.26,6.9,259.88,-5.13,268.8,--,--,--,--,--,--,--,--,--,--
10/3/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12.19,104.6,23.55,114.85,33.9,127.21,42.45,142.89,47.99,162.7,49.25,185.34,45.84,207,38.7,224.84,29.18,238.8,18.27,250.01,6.6,259.61,-5.42,268.54,--,--,--,--,--,--,--,--,--,--
10/4/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12.01,104.95,23.34,115.21,33.65,127.58,42.15,143.23,47.64,162.94,48.86,185.41,45.45,206.9,38.34,224.64,28.84,238.55,17.96,249.75,6.31,259.35,-5.71,268.27,--,--,--,--,--,--,--,--,--,--
10/5/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11.83,105.31,23.13,115.58,33.41,127.94,41.85,143.57,47.28,163.19,48.47,185.48,45.07,206.8,37.98,224.44,28.52,238.31,17.65,249.5,6.01,259.09,-5.99,268,--,--,--,--,--,--,--,--,--,--
10/6/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11.64,105.66,22.93,115.93,33.16,128.3,41.55,143.9,46.93,163.42,48.08,185.54,44.68,206.7,37.63,224.25,28.19,238.08,17.35,249.24,5.72,258.83,-6.28,267.73,--,--,--,--,--,--,--,--,--,--
10/7/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11.46,106.01,22.72,116.29,32.91,128.65,41.24,144.23,46.57,163.65,47.7,185.6,44.3,206.6,37.27,224.05,27.86,237.84,17.04,248.99,5.43,258.57,-6.56,267.46,--,--,--,--,--,--,--,--,--,--
10/8/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11.27,106.36,22.5,116.64,32.65,129.01,40.94,144.55,46.22,163.87,47.31,185.66,43.92,206.5,36.92,223.85,27.54,237.6,16.74,248.73,5.15,258.31,-6.84,267.19,--,--,--,--,--,--,--,--,--,--
10/9/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11.09,106.7,22.29,116.99,32.4,129.35,40.64,144.86,45.86,164.09,46.93,185.71,43.54,206.39,36.57,223.66,27.21,237.36,16.44,248.48,4.86,258.05,-7.12,266.92,--,--,--,--,--,--,--,--,--,--
10/10/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,22.08,117.33,32.15,129.69,40.33,145.17,45.51,164.3,46.55,185.76,43.17,206.29,36.22,223.46,26.89,237.13,16.14,248.23,4.58,257.79,-7.39,266.65,--,--,--,--,--,--,--,--,--,--
10/11/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21.86,117.67,31.89,130.03,40.03,145.47,45.15,164.51,46.17,185.81,42.79,206.19,35.87,223.27,26.57,236.89,15.85,247.98,4.3,257.52,-7.66,266.38,--,--,--,--,--,--,--,--,--,--
10/12/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21.64,118.01,31.64,130.36,39.72,145.77,44.8,164.71,45.79,185.86,42.42,206.08,35.52,223.07,26.26,236.66,15.56,247.73,4.03,257.26,-7.93,266.11,--,--,--,--,--,--,--,--,--,--
10/13/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21.43,118.34,31.38,130.68,39.42,146.06,44.45,164.9,45.41,185.9,42.05,205.98,35.18,222.88,25.94,236.42,15.27,247.48,3.75,257,-8.2,265.84,--,--,--,--,--,--,--,--,--,--
10/14/21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21.21,118.67,31.12,131,39.11,146.34,44.1,165.09,45.04,185.93,41.69,205.87,34.84,222.69,25.63,236.19,14.98,247.23,3.48,256.74,-8.46,265.57,--,--,--,--,--,--,--,--,--,--
